date,(주)넥스트엔터테인먼트월드(NEW),(주)쇼박스,(주)시너지하우스 (시너지),(주)시네마서비스,(주)싸이더스,(주)이수C&E,CGV아트하우스,UIP코리아,no record,㈜스튜디오이쩜영,롯데엔터테인먼트,메가박스중앙(주),소니픽처스,쇼이스트(주),씨제이이앤엠(주),에스케이텔레콤(주),워너브러더스코리아(주),월트디즈니컴퍼니코리아,유니버설픽쳐스인터내셔널 코리아(유),이십세기폭스코리아(주),주식회사 해리슨앤컴퍼니,판씨네마(주)
2007.12,0.0,53.32704953961168,0.0,48.681611847065966,41.28329372076976,74.49235848437807,0.0,54.01701964288109,30.88817739125255,28.40587882126477,35.73841587430831,43.87091338051904,50.31823079751024,41.459221747504934,49.85578323568944,0.0,53.429197744186,53.12946358673528,29.537489505215376,47.70340320817556,36.90426638917794,15.101052631578947
2008.01,0.0,52.97948866216885,0.0,47.87005548195065,55.438203722548664,74.49235848437807,0.0,54.01701964288109,31.260292758979098,28.243037006495406,35.163222502138986,43.87091338051904,49.341850375846306,41.459221747504934,49.47152154484293,0.0,52.73106970971225,53.12946358673528,29.646369529100962,47.02362731910497,36.90426638917794,17.060684312459653
2008.02,0.0,52.97576674301121,0.0,47.688394022363426,48.978485982829476,74.49235848437807,0.0,54.01701964288109,35.91835627993854,28.242674124002104,34.92186179068587,43.91912384161753,49.28418590593697,41.459221747504934,49.10261391734367,0.0,52.593615617300266,53.12946358673528,29.300044507688547,46.88467816474173,36.994301414470335,17.038684719535784
2008.03,0.0,52.582732201662715,0.0,47.44113436137732,47.518344722409594,74.49235848437807,0.0,54.01701964288109,35.75233682112606,28.79726451823315,34.42506015539858,43.04343598055105,48.17000230600279,41.459221747504934,48.65645968095361,154.6,51.54528149201307,53.12946358673528,30.149235477585126,45.73777812192186,36.78486433474992,17.020499679692506
2008.04,0.0,51.716039507779236,0.0,47.02724693725974,47.51515655089493,74.49235848437807,0.0,54.015570935477015,35.44943831287105,30.52218244837696,33.81949015297393,43.01351898324294,48.089961826334324,41.459221747504934,48.19502412117988,25.388571428571428,51.13522606476431,53.12946358673528,28.851125820978336,44.968959759894474,35.601262979892724,16.95701643489254
2008.05,0.0,51.36457541879933,0.0,46.42907677387378,47.51515655089493,74.47723447507049,0.0,54.015570935477015,35.36767283158895,30.274394736454326,33.643786238250534,42.734852118305355,47.490837460877614,41.459221747504934,48.65257115451365,25.043962213488907,50.44074679944407,53.127625707799496,28.67194759847587,44.630018376570696,35.35104645611919,16.9672131147541
2008.06,0.0,51.1237226600846,0.0,46.91280074881166,47.51515655089493,74.47723447507049,0.0,54.01148530641479,35.3185175094626,29.720535505984962,33.41402389325994,42.947737909516384,47.1998545871,41.458073526791864,48.93570636535002,31.86264934426733,50.11099862984089,53.127625707799496,32.47140081572732,43.80978678537002,35.29083205896362,16.9672131147541
2008.07,0.0,51.01479288420702,0.0,46.80740654639016,46.5837310174729,74.47723447507049,0.0,54.010652418281005,35.28050456939281,29.716748282480403,33.400076655846995,42.53474932452717,47.03768506056527,41.458073526791864,49.502176071639056,31.993315406468863,50.0769539303656,53.12753893203073,34.90676087204735,43.80574316455232,35.298019553772875,16.472631578947368
2008.08,0.0,50.67787413864276,0.0,46.804721503061835,43.97207696316887,74.47723447507049,0.0,54.010051010075706,35.19355520744236,29.227581387421168,33.77563771262066,42.53233793517407,46.89491964225885,41.45795308251065,49.579294379352625,35.68220026401615,50.79342789453717,53.12777016712983,39.31338589848124,43.38753887709391,57.10870438119033,16.203061224489797
2008.09,236.625,50.64376883146732,0.0,46.8040317994809,41.21025198378887,74.47723447507049,0.0,54.01044301676175,35.09411888298888,29.84827527060885,33.47032027214321,31.190283400809715,46.764975852787074,41.45795308251065,49.479279264505415,33.69987283727024,50.270249589100274,53.12777016712983,40.44489838737625,43.02247316587847,52.8710251450677,16.080889787664308
