date,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
2017.06,158,개선문,,709000,0.0%,4259000,342,2141,1,8,미국,미국,
2017.06,159,전함 슈퍼호의 최후,,576000,0.0%,1186000,324,645,1,5,영국,영국,
2017.06,160,프란츠,2017-07-20,1936000,0.0%,1936000,323,323,1,3,프랑스,프랑스,찬란
2017.06,161,존 윅 - 리로드,2017-02-22,685000,0.0%,2205582600,322,276379,5,65,미국,미국,(주)제이앤씨미디어그룹
2017.06,162,분노의 강,,632000,0.0%,1269000,316,647,1,19,미국,미국,
2017.06,163,엔젤 앤 배드맨,,628000,0.0%,2452000,314,922,1,8,미국,미국,
2017.06,164,비련의 공주 엘리자베스,,626000,0.0%,626000,313,313,1,16,미국,미국,
2017.06,165,붉은 나비의 꿈,,1550000,0.0%,1550000,310,310,1,3,기타,기타,
2017.06,166,마사의 부엌,2017-10-26,1888000,0.0%,2442000,303,405,1,2,독일,"독일,이탈리아,오스트리아 ,스위스",(주)영화사 진진
2017.06,167,빌리 엘리어트,2001-02-16,1758000,0.0%,187252000,293,24816,5,5,영국,"영국,프랑스","(주)팝엔터테인먼트,유아이피-씨아이씨영화및비디오배급(유)"
2017.06,168,자이언트,1974-02-28,584000,0.0%,12825712,292,7839,1,4,미국,미국,
2017.06,169,성의,1986-12-31,542000,0.0%,6135644,288,4385,1,6,미국,미국,
2017.06,170,대폭군,,574000,0.0%,574000,287,287,1,9,한국,한국,
2017.06,171,베르나데트의 노래,,572000,0.0%,7027000,286,3216,1,6,미국,미국,
2017.06,172,불타는 전장,,536000,0.0%,1267000,282,658,1,6,미국,미국,
2017.06,172,장산범,2017-08-17,1692000,0.0%,1692000,282,282,1,1,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2017.06,172,내가 마지막 본 파리,2011-02-07,534000,0.0%,12611000,282,6318,1,6,미국,미국,
2017.06,175,빅 트리,,520000,0.0%,520000,275,275,1,6,미국,미국,
2017.06,176,남사당,1975-04-19,491000,0.0%,491000,273,273,1,6,한국,한국,
2017.06,177,세계를 그대 품안에,,538000,0.0%,16943000,269,8334,1,16,미국,미국,
2017.06,178,연평해전,2015-06-24,1179500,0.0%,45567290830,268,6044956,2,8,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2017.06,179,아마도 내일은,2017-06-01,1692500,0.0%,4617500,260,710,6,55,오스트리아,오스트리아,C 무비
2017.06,180,전선의 우정,,518000,0.0%,518000,259,259,1,12,미국,"미국,영국,이탈리아",
2017.06,181,아임 낫 데어,2008-05-29,2016000,0.0%,182652300,253,26571,2,11,미국,"미국,독일",(주)스폰지이엔티
2017.06,182,마음의 행로,,479000,0.0%,31741000,252,15766,1,6,미국,미국,
2017.06,183,바닷마을 다이어리,2015-12-17,1757000,0.0%,831090884,251,101557,1,1,일본,일본,(주)티캐스트
2017.06,184,쇠파리,2017-05-25,1705000,0.0%,36252600,248,4828,8,47,한국,한국,(주)영화사 그램
2017.06,185,피아니스트,2003-01-01,1543500,0.0%,104895900,242,14100,2,8,프랑스,프랑스,"(주)씨네월드,(주)드림팩트엔터테인먼트"
2017.06,186,포도밭의 후계자,,1294000,0.0%,2300000,238,398,1,2,프랑스,프랑스,
2017.06,187,시소,2016-11-10,1589000,0.0%,68312200,227,9176,1,1,한국,한국,"(주)대명문화공장,(주)리틀빅픽쳐스"
2017.06,188,미망인,1955-12-10,675000,0.0%,3663000,225,1307,1,4,한국,한국,
2017.06,189,"더티, 옐로우, 다크니스",,1120000,0.0%,1120000,224,224,1,2,기타,기타,
2017.06,190,촌색씨,,442000,0.0%,2642000,221,1321,1,12,한국,한국,
