date,category,전체,한국,외국
2013.11,스크린수,12667,6800,5867
2013.11,상영횟수,406405,236616,169789
2013.12,매출액,150009242120,84018838586,65990403534
2013.12,관객수,20776436,11794820,8981616
2013.12,스크린수,13940,5504,8436
2013.12,상영횟수,414544,216796,197748
2014.01,매출액,174135257251,99101347509,75033909742
2014.01,관객수,23596599,13611121,9985478
2014.01,스크린수,12789,5666,7123
2014.01,상영횟수,441992,242034,199958
2014.02,매출액,138791216956,71668084431,67123132525
2014.02,관객수,18558381,9912782,8645599
2014.02,스크린수,12100,5190,6910
2014.02,상영횟수,407827,212304,195523
2014.03,매출액,95546674398,24212063078,71334611320
2014.03,관객수,12404922,3253459,9151463
2014.03,스크린수,12988,3137,9851
2014.03,상영횟수,420253,128948,291305
2014.04,매출액,72206631790,15114827755,57091804035
2014.04,관객수,9206484,2017985,7188499
2014.04,스크린수,14027,4269,9758
2014.04,상영횟수,378388,93296,285092
2014.05,매출액,133645070549,65093716390,68551354159
2014.05,관객수,16862099,8289355,8572744
2014.05,스크린수,11537,4060,7477
2014.05,상영횟수,419712,213408,206304
2014.06,매출액,127572294211,35163556471,92408737740
2014.06,관객수,15889312,4454267,11435045
2014.06,스크린수,11975,3550,8425
2014.06,상영횟수,417437,144240,273197
2014.07,매출액,155597817036,79336083129,76261733907
2014.07,관객수,19876822,10235204,9641618
2014.07,스크린수,13520,5382,8138
2014.07,상영횟수,431883,197460,234423
2014.08,매출액,250016168557,194237742603,55778425954
2014.08,관객수,32219304,25094344,7124960
2014.08,스크린수,12306,4821,7485
2014.08,상영횟수,471961,314120,157841
2014.09,매출액,134289577611,62569565061,71720012550
2014.09,관객수,17084849,7938374,9146475
2014.09,스크린수,12291,4029,8262
2014.09,상영횟수,447084,186773,260311
2014.10,매출액,95448759232,51234024725,44214734507
2014.10,관객수,12502773,6731794,5770979
2014.10,스크린수,15528,6338,9190
2014.10,상영횟수,460763,244512,216251
2014.11,매출액,118455311569,24270169163,94185142406
2014.11,관객수,15190407,3253828,11936579
2014.11,스크린수,13493,5097,8396
2014.11,상영횟수,386997,140768,246229
2014.12,매출액,168527770000,98638388987,69889381013
2014.12,관객수,21677006,12911409,8765597
2014.12,스크린수,14785,5522,9263
2014.12,상영횟수,447943,219016,228927
2015.01,매출액,176295325651,110123050402,66172275249
2015.01,관객수,22484091,14019496,8464595
2015.01,스크린수,13840,5951,7889
2015.01,상영횟수,488904,277733,211171
2015.02,매출액,131520874270,63402259578,68118614692
2015.02,관객수,16666173,8048675,8617498
2015.02,스크린수,15071,4849,10222
2015.02,상영횟수,424682,203846,220836
2015.03,매출액,89668139418,30469065119,59199074299
2015.03,관객수,11323107,3899544,7423563
2015.03,스크린수,14224,4586,9638
2015.03,상영횟수,451717,159332,292385
2015.04,매출액,103201108123,24782124375,78418983748
2015.04,관객수,12721639,3255669,9465970
2015.04,스크린수,13910,4145,9765
2015.04,상영횟수,419814,149677,270137
2015.05,매출액,144275042353,44274804858,100000237495
2015.05,관객수,17670740,5560234,12110506
2015.05,스크린수,12797,4400,8397
2015.05,상영횟수,455952,172888,283064
2015.06,매출액,116351337148,43789231632,72562105516
2015.06,관객수,14201957,5647112,8554845
2015.06,스크린수,12356,5126,7230
2015.06,상영횟수,441182,170494,270688
2015.07,매출액,181081154258,85792613127,95288541131
2015.07,관객수,23431726,11234744,12196982
2015.07,스크린수,14582,5458,9124
2015.07,상영횟수,477714,208667,269047
2015.08,매출액,239306880352,164358636321,74948244031
2015.08,관객수,30902141,21091823,9810318
2015.08,스크린수,11306,5367,5939
2015.08,상영횟수,493990,316419,177571
2015.09,매출액,148814137472,88786659519,60027477953
2015.09,관객수,18733043,11275311,7457732
2015.09,스크린수,15234,7366,7868
2015.09,상영횟수,458169,265736,192433
2015.10,매출액,116846824618,48779960823,68066863795
2015.10,관객수,14926529,6397661,8528868
2015.10,스크린수,15059,7173,7886
2015.10,상영횟수,462701,224239,238462
2015.11,매출액,119458833911,81573437650,37885396261
2015.11,관객수,15275978,10414836,4861142
2015.11,스크린수,15349,6716,8633
2015.11,상영횟수,448254,264246,184008
2015.12,매출액,148681914104,93527058256,55154855848
2015.12,관객수,18962399,12096777,6865622
2015.12,스크린수,16317,7609,8708
2015.12,상영횟수,481457,296819,184638
2016.01,매출액,132647868013,60016713983,72631154030
2016.01,관객수,16908582,7634699,9273883
2016.01,스크린수,17273,6359,10914
2016.01,상영횟수,486766,226688,260078
2016.02,매출액,167500423725,103991425764,63508997961
2016.02,관객수,21312706,13267625,8045081
2016.02,스크린수,15756,7585,8171
2016.02,상영횟수,477663,258909,218754
2016.03,매출액,89845102226,31331171522,58513930704
2016.03,관객수,11266732,4031857,7234875
2016.03,스크린수,17432,5854,11578
2016.03,상영횟수,468527,166757,301770
2016.04,매출액,80703558897,26122816885,54580742012
2016.04,관객수,9995372,3252666,6742706
2016.04,스크린수,16263,4829,11434
2016.04,상영횟수,454334,179502,274832
2016.05,매출액,147888246410,67218118387,80670128023
2016.05,관객수,18131197,8368494,9762703
2016.05,스크린수,15803,5983,9820
2016.05,상영횟수,447139,192565,254574
2016.06,매출액,139226453339,58245241327,80981212012
2016.06,관객수,17020069,7249926,9770143
2016.06,스크린수,15309,5687,9622
2016.06,상영횟수,464732,185656,279076
2016.07,매출액,211416715256,126970414998,84446300258
2016.07,관객수,26237872,15777301,10460571
2016.07,스크린수,17798,7396,10402
2016.07,상영횟수,520982,271441,249541
2016.08,매출액,237562236685,162988395005,74573841680
2016.08,관객수,29940921,20547734,9393187
2016.08,스크린수,17295,7206,10089
2016.08,상영횟수,536233,336392,199841
2016.09,매출액,130176534838,83226021170,46950513668
2016.09,관객수,16208794,10374580,5834214
2016.09,스크린수,19034,7696,11338
2016.09,상영횟수,471068,251121,219947
2016.10,매출액,140757994974,67801188851,72956806123
2016.10,관객수,17159928,8340017,8819911
2016.10,스크린수,15911,5688,10223
2016.10,상영횟수,502548,204214,298334
2016.11,매출액,103898899734,35623060298,68275839436
2016.11,관객수,12682819,4588229,8094590
2016.11,스크린수,17345,6604,10741
2016.11,상영횟수,478903,191272,287631
2016.12,매출액,161570390273,104330459533,57239930740
2016.12,관객수,20161190,13122761,7038429
2016.12,스크린수,16771,6871,9900
2016.12,상영횟수,506424,305237,201187
2017.01,매출액,188793124767,103632127178,85160997589
2017.01,관객수,23255258,12685442,10569816
2017.01,스크린수,18032,6880,11152
2017.01,상영횟수,537877,244872,293005
2017.02,매출액,121110605754,71077718328,50032887426
2017.02,관객수,15181395,8899613,6281782
2017.02,스크린수,19106,6416,12690
2017.02,상영횟수,483930,253909,230021
2017.03,매출액,112567543696,34826380618,77741163078
2017.03,관객수,13855445,4369444,9486001
2017.03,스크린수,18737,6211,12526
2017.03,상영횟수,494980,164901,330079
2017.04,매출액,90337692907,33897976894,56439716013
2017.04,관객수,11214167,4284843,6929324
2017.04,스크린수,18462,6993,11469
2017.04,상영횟수,482958,189900,293058
2017.05,매출액,149552616634,50856129913,98696486721
2017.05,관객수,18680206,6470245,12209961
2017.05,스크린수,20456,8087,12369
2017.05,상영횟수,534902,202625,332277
2017.06,매출액,121315474017,38123211144,83192262873
